,Company_Brand,Founded,HeadQuarter,What_it_does,Investor,Amount,Stage,Year,Num_of_Investors,Num_of_Founders,Sector,Currency,new_amount
0,Aqgromalin,2019.0,Chennai,Cultivating Ideas for Profit,Angel investors,200000.0,Series D,2020,1,2,Technology,Not Specified,200000.0
1,Krayonnz,2019.0,Bangalore,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,GSF Accelerator,100000.0,Pre-Seed,2020,1,2,Education,Not Specified,100000.0
2,PadCare Labs,2018.0,Pune,Converting bio-hazardous waste to harmless waste,Venture Center,nan,Series D,2020,1,1,Healthcare,Not Specified,25472041.55527319
3,NCOME,2020.0,Delhi,Escrow-as-a-service platform,"Venture Catalysts, PointOne Capital",400000.0,Series A,2020,2,1,Finance,Not Specified,400000.0
4,Gramophone,2016.0,Indore,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Siana Capital Management, Info Edge",340000.0,Corporate Round,2020,2,4,Technology,Not Specified,340000.0
5,qZense,2019.0,Bangalore,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Seed,2020,2,2,Technology,Not Specified,600000.0
6,MyClassboard,2008.0,Hyderabad,MyClassboard is a full-fledged School / College Management Software.,ICICI Bank.,600000.0,Series B,2020,1,1,Education,Not Specified,600000.0
7,Metvy,2018.0,Gurugram,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,HostelFund,nan,Angel,2020,1,1,Technology,Not Specified,25472041.55527319
8,Rupeek,2015.0,Bangalore,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","KB Investment, Bertelsmann India Investments",45000000.0,Series C,2020,2,3,FinTech,Not Specified,45000000.0
9,Gig India,2017.0,Pune,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Series D,2020,2,2,Other,Not Specified,1000000.0
10,Slurrp Farm,2016.0,Gurugram,Slurrp Farm is a children health food brand.,Fireside Ventures,2000000.0,Series A,2020,1,1,Consumables,Not Specified,2000000.0
11,Medfin,2017.0,Bangalore,Medfin is a Discovery platform for medical procedures and financing.,"Axilor Ventures, S.D. Shibulal",nan,Series A,2020,2,3,Healthcare,Not Specified,25472041.55527319
12,MasterG,2015.0,Delhi,MasterG is a design and skill development organisation.,Acumen Fund's angel programme,nan,Seed,2020,1,1,Lifestyle,Not Specified,25472041.55527319
13,Brila 91,2014.0,Delhi,Bira 91 is a craft beer company.,"Sequoia Capital India, Sixth Sense Ventures",1200000.0,Series A,2020,2,1,Consumables,Not Specified,1200000.0
14,FoodyBuddy,2015.0,Belgaum,FoodyBuddy is a online food delivery portal,Rebel Foods,600000.0,Series A,2020,1,3,Consumables,Not Specified,600000.0
15,Zomato,2008.0,Gurugram,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,"Kora, Tiger Global Management",660000000.0,Series C,2020,2,3,Consumables,Not Specified,660000000.0
16,OurEye.ai,2020.0,Bangalore,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.","100X VC, Amara Ventures",120000.0,Series B,2020,2,3,Technology,Not Specified,120000.0
17,Shiprocket,2017.0,Delhi,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Bertelsmann India Investments, InnoVen Capital",7500000.0,Series C,2020,2,3,E-Commerce,Not Specified,7500000.0
18,Pine Labs,1998.0,Noida,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,"Mastercard, Temasek Holdings",nan,Corporate Round,2020,2,1,FinTech,Not Specified,25472041.55527319
19,Moneyboxx Finance,2019.0,Delhi,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,"BlackSoil, Caspian",1000000.0,Corporate Round,2020,2,1,FinTech,Not Specified,1000000.0
20,EWar,2019.0,Bangalore,EWar Games is a e-sports and real-time gaming start-up.,"Jindal Steels, Jeet Banerjee",nan,Series A,2020,2,2,Gaming,Not Specified,25472041.55527319
21,SucSEED Indovation,2016.0,Hyderabad,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Not Specified,5000000.0,Series B,2020,2,1,FinTech,Not Specified,5000000.0
22,TaxBuddy.com,2019.0,Mumbai,TaxBuddy for any tax related issues.,Zenith Global,1000000.0,Venture - Series Unknown,2020,1,1,FinTech,Not Specified,1000000.0
23,Awign Enterprises,2016.0,Bangalore,Operations and manpower outsourcing startup,"Unitus Ventures, Work10M",500000.0,Series A,2020,2,3,Other,Not Specified,500000.0
24,Circle of Angels,2018.0,Gurugram,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Not Specified,3000000.0,Corporate Round,2020,2,1,FinTech,Not Specified,3000000.0
25,CoinDCX,2017.0,Mumbai,CoinDCX is a company that specializes in crypto-enabled financial services.,"Coinbase Ventures, Polychain",10000000.0,Series B,2020,2,2,FinTech,Not Specified,10000000.0
26,Glance,2016.0,Bangalore,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Mithril Capital Management.,145000000.0,Corporate Round,2020,1,1,Technology,Not Specified,145000000.0
27,VerSe Innovation,2007.0,Bangalore,Owner of Dailyhunt App and I-Pay,Google,100000000.0,Series C,2020,1,1,Technology,Not Specified,100000000.0
28,Voosh,2020.0,Bangalore,Building India's largest digital food service brand,Better Capital,nan,Series C,2020,1,1,Consumables,Not Specified,25472041.55527319
29,Delhivery,2011.0,Gurugram,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,"Steadview Capital, Canada Pension Plan Investment Board",nan,Angel,2020,2,4,E-Commerce,Not Specified,25472041.55527319
30,Arya,1982.0,Noida,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",Quona Capital,21000000.0,Series B,2020,1,3,Technology,Not Specified,21000000.0
31,Pickrr,2015.0,Delhi,Pickrr is an on-demand first mile logistics company,Swastika,4000000.0,Series C,2020,1,3,Logistics,Not Specified,4000000.0
32,PhonePe,2015.0,Andheri,PhonePe is a mobile payment application that enables users to transfer money instantly.,"Flipkart, Walmart",20000000.0,Series B,2020,2,3,FinTech,Not Specified,20000000.0
33,Countingwell,2018.0,Bangalore,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.","Delhi Private School, UAE, Interstar",1000000.0,Series A,2020,3,1,Education,Not Specified,1000000.0
34,Callify.ai,2016.0,Mumbai,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,Malpani Ventures,560000.0,Seed,2020,1,3,Technology,Not Specified,560000.0
35,Hudle,2016.0,Delhi,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Survam Partners,nan,Series A,2020,1,1,Gaming,Not Specified,25472041.55527319
36,Cover it Up,2013.0,Chennai,Online portal that churns out high quality products,Angel investors,400000.0,Seed,2020,1,1,E-Commerce,Not Specified,400000.0
37,BiteSpeed,2019.0,Gurugram,Chat-based commerce for E-commerce brands,Whiteboard Capital,275000.0,Seed,2020,1,3,E-Commerce,Not Specified,275000.0
38,WakeFit,2016.0,Bangalore,Wakefitkart is a mattress manufacturing company,Sequoia Capital.,20000000.0,Series B,2020,1,2,Consumer Services,Not Specified,20000000.0
39,Sreyas Holistic Remedies,2008.0,Hyderabad,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Blacksoil,1000000.0,Seed,2020,1,1,Technology,Not Specified,1000000.0
40,Fleeca India,2016.0,Jaipur,FLEECA is a Tyre Care Provider company.,Bridgestone India,nan,Angel,2020,1,1,Automotive,Not Specified,25472041.55527319
41,M1xchange,2017.0,Gurugram,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,"BEENEXT, Mayfield Fund",4500000.0,Series A,2020,2,1,FinTech,Not Specified,4500000.0
42,Exotel,2011.0,Bangalore,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,"A91 Partners, Artha India Ventures",5000000.0,Corporate Round,2020,2,1,Technology,Not Specified,5000000.0
43,PagarBook,2019.0,Bangalore,"Staff's Salary, Work & Attendance Management Application","Sequoia Capital, India Quotient",15000000.0,Series A,2020,2,2,Technology,Not Specified,15000000.0
44,PointOne Capital,2020.0,Bangalore,Pre-seed/Seed focussed VC investor,Not Specified,nan,Corporate Round,2020,2,1,Finance,Not Specified,25472041.55527319
45,Ayana,2017.0,Bangalore,Ayana Renewable Power is an Indian renewable energy platform,"NIIF Ltd, CDC Group",390000000.0,Series D,2020,2,1,Energy,Not Specified,390000000.0
46,Fisdom,2015.0,Bangalore,Fisdom is a fintech company that offers investment advisory services through an application.,"PayU Finance India, Quona Capital",7000000.0,Series E,2020,2,4,FinTech,Not Specified,7000000.0
47,Tinker Coders,2020.0,Noida,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,STEMROBO Technologies,nan,Seed,2020,1,1,Education,Not Specified,25472041.55527319
48,Infinite Uptime,2015.0,Pune,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",5100000.0,Series B,2020,2,1,Technology,Not Specified,5100000.0
49,HappyLocate,2016.0,Bangalore,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",The CoWrks Foundry,500000.0,Series E,2020,1,2,Technology,Not Specified,500000.0
50,PhonePe,2015.0,Delhi,PhonePe is a mobile payments application that allows the user to transfer money instantly.,Flipkart,700000000.0,Series A,2020,1,3,FinTech,Not Specified,700000000.0
51,Loop Health,2017.0,Pune,Loop Health is bringing ease and choice to patients seeking major medical treatments.,"Y Combinator, Sierra Ventures",2300000.0,Seed,2020,2,2,Healthcare,Not Specified,2300000.0
52,NeoDocs,2020.0,Mumbai,Neodocs analyses medical reports and provides personalised health recommendations remotely.,9Unicorns Accelerator Fund,nan,Corporate Round,2020,1,3,Healthcare,Not Specified,25472041.55527319
53,The ePlane,2016.0,Chennai,Transforming the mobility landscape using aerial transport.,Speciale Invest,nan,Seed,2020,1,2,Technology,Not Specified,25472041.55527319
54,TagMango,2019.0,Mumbai,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","XRM Media, Kevin Lin",700000.0,Seed,2020,2,2,Marketing,Not Specified,700000.0
55,The New Shop,2019.0,Delhi,The New Shop is a chain of high speed retail stores,Huddle Accelerator,500000.0,Seed,2020,1,3,Consumer Services,Not Specified,500000.0
56,MobiKwik,2009.0,Gurugram,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.","Hindustan Media Venture, Nicolas Jarrosson",7000000.0,Pre-Seed,2020,2,2,FinTech,Not Specified,7000000.0
57,DebugsBunny,2020.0,Pune,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,India Angel Fund,100000.0,Series D,2020,1,1,Education,Not Specified,100000.0
58,BHIVE Investech,2014.0,Bangalore,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,Blume Ventures,1000000.0,Seed,2020,1,7,Other,Not Specified,1000000.0
59,Rivigo,2014.0,Gurugram,Rivigo is a technology-enabled logistics platform provider that offers transport services.,"Elevation Capital, Trifecta Capital Advisors",19000000.0,Series D,2020,2,2,Logistics,Not Specified,19000000.0
60,ZipLoan,2015.0,Delhi,ZipLoan is a online lending platform,"Stride Ventures, Matrix Partners India",3000000.0,Angel,2020,2,2,Finance,Not Specified,3000000.0
61,Swipez,2014.0,Pune,Swipez is a payment collection platform.,"9Unicorns, Anicut",nan,Pre-Seed,2020,2,1,FinTech,Not Specified,25472041.55527319
62,Humus,2019.0,Bangalore,Farmgate to Retail outlet Agri-Fresh produce supply chain,"Venture Catalysts, 9Unicorns, We Founders Circle.",nan,Pre-Seed,2020,3,2,Technology,Not Specified,25472041.55527319
63,Artivatic.ai,2017.0,Bangalore,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.","SenseAI Ventures, Saurabh Chugh",nan,Corporate Round,2020,2,1,Technology,Not Specified,25472041.55527319
64,Prescinto,2016.0,Ahmedabad,Prescinto provides solutions for solar monitoring and analytics solutions.,"Startup incubator, Accelerator Venture Catalysts",nan,Seed,2020,2,3,Energy,Not Specified,25472041.55527319
65,Toppeq,2019.0,Mumbai,SaaS-based equity management platform,Not Specified,nan,Seed,2020,2,1,Technology,Not Specified,25472041.55527319
66,Bolo Indya,2019.0,Gurugram,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.","India Accelerator, Sunil Kamath",400000.0,Pre-Seed,2020,2,2,Media/Entertainment,Not Specified,400000.0
67,Bombay Play,2017.0,Bangalore,Bombay Play is a Card and Toy Company Making games for India.,"Ramakant Sharma, Leo Capital India",1000000.0,Seed,2020,2,3,Gaming,Not Specified,1000000.0
68,FreshToHome,2015.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Investment Corporation of Dubai (ICD),nan,Seed,2020,1,1,E-Commerce,Not Specified,25472041.55527319
69,KIKO TV,2020.0,Mumbai,KIKO TV is an AI-based short live video e-commerce platform.,"9Point8 Capital, Sunil Kumar Singhvi",nan,Seed,2020,2,2,Media/Entertainment,Not Specified,25472041.55527319
70,Atomberg Technologies,2012.0,Mumbai,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances","Sandeep Tandon, Survam Partners",9000000.0,Series B,2020,2,2,Consumer Services,Not Specified,9000000.0
71,DealShare,2018.0,Jaipur,DealShare is a Social Commerce Startup,"Falcon Edge Capital, Omidyar Network",21000000.0,Series C,2020,2,3,E-Commerce,Not Specified,21000000.0
72,Smallcase,2015.0,Bangalore,Changing how India invests in equities,"WEH Ventures, BEENEXT",nan,Series A,2020,2,3,FinTech,Not Specified,25472041.55527319
73,CueMath,2011.0,Bangalore,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,"Sequoia Capital India, CapitalG",40000000.0,Series C,2020,2,1,Education,Not Specified,40000000.0
74,Gamerji,2018.0,Ahmedabad,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",La Gajjar Group.,nan,Seed,2020,1,3,Gaming,Not Specified,25472041.55527319
75,5C Network,2014.0,Bangalore,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate","Axilor Ventures, Unitus Ventures",1200000.0,Series D,2020,2,1,Healthcare,Not Specified,1200000.0
76,Ethereum Push Notification Service,2020.0,Mumbai,EPNS is a decentralized notification protocol,Prolific angel investors,750000.0,Seed,2020,1,2,Technology,Not Specified,750000.0
77,Mihup,2016.0,Kolkata,Intelligence-based personal mobile assistant app,"Ideaspring Capital, Accel",1500000.0,Series A,2020,2,4,Technology,Not Specified,1500000.0
78,RuralBasket,2019.0,Tamilnadu,Naturally grown and healthy products directly from farmers.,Nativelead Foundation,500000.0,Seed,2020,1,1,E-Commerce,Not Specified,500000.0
79,WayCool Foods,2015.0,Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.","FMO, IndusInd Bank",7800000.0,Series D,2020,2,2,Technology,Not Specified,7800000.0
80,Infra.Market,2016.0,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,"Trifecta Capital Advisors, Nexus Venture Partners",20000000.0,Series B,2020,2,2,Real Estate,Not Specified,20000000.0
81,Info Edge Venture,1995.0,Noida,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",Lightbox,50000000.0,Corporate Round,2020,1,1,Finance,Not Specified,50000000.0
82,Clovia,2013.0,Noida,Clovia is the online lingerie retailer,"Golden Birch Investments, She Capital",4000000.0,Series B,2020,2,2,E-Commerce,Not Specified,4000000.0
83,Codingal,2020.0,Bangalore,Coding education platform for K-12 students,"Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",560000.0,Seed,2020,4,2,Education,Not Specified,560000.0
84,CRED,2018.0,Bangalore,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,"General Catalyst, Ribbit Capital",80000000.0,Series C,2020,2,1,Finance,Not Specified,80000000.0
85,Vistaar Finance,2010.0,Bangalore,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,FMO,30000000.0,Corporate Round,2020,1,2,Finance,Not Specified,30000000.0
86,Let's Dive,2020.0,Bangalore,A platform for remote employee engagement and building team culture,Surge,1700000.0,Series E,2020,1,2,Technology,Not Specified,1700000.0
87,Habitat,2016.0,Delhi,"Habitat, a social learning edtech platform for civil service aspirants","Unitus Ventures, Whiteboard Capital",600000.0,Seed,2020,2,2,Education,Not Specified,600000.0
88,SAWO Labs,2020.0,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,"StartupXseed Ventures, 100X.VC",600000.0,Seed,2020,2,1,Technology,Not Specified,600000.0
89,Signzy,2015.0,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,"Stellaris Venture Partners, Mastercard",3000000.0,Series C,2020,2,3,Technology,Not Specified,3000000.0
90,KopyKitab,2013.0,Bangalore,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.","Paula Mariwala, Siddharth Anand",nan,Series D,2020,2,2,Education,Not Specified,25472041.55527319
91,Kyt,2020.0,Singapore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,Sequoia Capital India’s Surge,2500000.0,Pre-Seed,2020,1,2,Education,Not Specified,2500000.0
92,Raskik,2019.0,Bangalore,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,"Venture Catalysts, 9Unicorns",1000000.0,Series B,2020,2,3,Other,Not Specified,1000000.0
94,Mobile Premier League (MPL),2018.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Pegasus Tech Ventures, Base Partners",500000.0,Series B,2020,2,2,Gaming,Not Specified,500000.0
95,Pravasirojgar,2020.0,Pune,Initiative for blue-collar job workers,GoodWorker.,33000000.0,Corporate Round,2020,1,1,Other,Not Specified,33000000.0
96,Omatra Hotels,2017.0,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,Capify,nan,Seed,2020,1,2,Hospitality,Not Specified,25472041.55527319
97,Awign,2016.0,Bangalore,Operations and manpower outsourcing startup,"Unitus Ventures, Work10M",nan,Venture - Series Unknown,2020,2,3,Other,Not Specified,25472041.55527319
98,NewsReach,2018.0,Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,"Mumbai Angels, JITO Angel Network.",1500000.0,Seed,2020,2,2,Media/Entertainment,Not Specified,1500000.0
99,Cashfree,2015.0,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"George Osborne, Smilegate Investment",35000000.0,Series B,2020,2,2,FinTech,Not Specified,35000000.0
100,Credgenics,2018.0,Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Accel India, Breadlake Ventures",3000000.0,Series C,2020,2,3,FinTech,Not Specified,3000000.0
101,GeoIQ,2018.0,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.","Ankur Mittal, Mitesh Shah",300000.0,Seed,2020,2,3,Technology,Not Specified,300000.0
102,Country Delight,2015.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"IIFL Asset Management, Matrix Partners",25000000.0,Series C,2020,2,2,Consumables,Not Specified,25000000.0
103,Quintype,2014.0,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",IIFL AMC,3500000.0,Series A,2020,1,1,Technology,Not Specified,3500000.0
104,CARS24,2015.0,Haryana,CARS24 is an India-based platform for selling used cars.,"Global Car Group, Freemark holdings",200000000.0,Series E,2020,2,3,Consumer Services,Not Specified,200000000.0
105,Astrogate Labs,2017.0,Bangalore,Astrogate Labs provides high-quality products related to space infrastructure.,"Venture Catalysts, Speciale Invest",nan,Angel,2020,2,2,Technology,Not Specified,25472041.55527319
106,Power Gummies,2018.0,Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Venture Catalysts,nan,Angel,2020,1,1,Healthcare,Not Specified,25472041.55527319
107,Cityflo,2015.0,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,"Anupam Mittal, India Quotient",7000000.0,Series A,2020,2,6,Logistics,Not Specified,7000000.0
108,AlgoBulls,2019.0,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,Venture Catalysts,200000.0,Venture - Series Unknown,2020,1,2,E-Commerce,Not Specified,200000.0
109,Credgenics,2018.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Accel India, Breadlake Ventures",3000000.0,Series B,2020,2,3,FinTech,Not Specified,3000000.0
110,Inntot,2014.0,Kerala,"Inntot Technologies, is a technology driven company.",Unicorn India Ventures,nan,Series E,2020,1,1,Technology,Not Specified,25472041.55527319
111,Ensuredit,2019.0,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,Venture Catalysts,300000.0,Pre-Seed,2020,1,3,FinTech,Not Specified,300000.0
112,Shipsy,2015.0,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,"DTDC, Udaan Angel Partners",6000000.0,Series A,2020,2,3,Technology,Not Specified,6000000.0
113,ERPNext,2008.0,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",Rainmatter,1000000.0,Series E,2020,1,1,Technology,Not Specified,1000000.0
114,LightSpeedAI,2019.0,Bangalore,Developer of an optoelectronic processor designed to accelerate AI computations.,"YourNest, growX ventures",nan,Venture - Series Unknown,2020,2,2,Technology,Not Specified,25472041.55527319
115,Grip Invest,2020.0,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,Gemba Capital,nan,Seed,2020,1,2,FinTech,Not Specified,25472041.55527319
116,Unacademy,2015.0,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Dragoneer Investment Group, Tiger Global Management",nan,Series E,2020,2,4,Education,Not Specified,25472041.55527319
117,Yellow Classes,2020.0,Gurugram,New-age fun-learning platform for kids.,India Quotient,1300000.0,Series E,2020,1,2,Education,Not Specified,1300000.0
118,Plum,2019.0,Bangalore,High quality health insurance and health benefits,"Surge, Tanglin Venture Partners",4100000.0,Series C,2020,2,2,Healthcare,Not Specified,4100000.0
119,STAGE,2019.0,Indore,STAGE is an Indian language content platform for artist-led entertainment.,Venture Catalysts,1000000.0,Pre-Seed,2020,1,3,Media/Entertainment,Not Specified,1000000.0
120,Nykaa,2012.0,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,"Alia Bhatt, Katrina Kaif",nan,Series B,2020,2,1,Wellness/Beauty,Not Specified,25472041.55527319
121,Kaagaz Scanner,2020.0,Gurugram,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,Pravega Ventures,575000.0,Seed,2020,1,2,Technology,Not Specified,575000.0
122,NIRA,2017.0,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.","Techstars Bangalore Accelerator, Techstars",1000000.0,Series E,2020,2,2,FinTech,Not Specified,1000000.0
123,Prolixr,2018.0,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,"Alfa Ventures, Divij Bajaj",nan,Seed,2020,2,2,Automotive,Not Specified,25472041.55527319
124,Byju's,2011.0,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Owl Ventures, Tiger Global Management",200000000.0,Series C,2020,2,2,Education,Not Specified,200000000.0
125,DaMENSCH,2018.0,Bangalore,DaMENSCH is a designer and seller of men's apparel.,"Whiteboard Capital, Matrix Partners India",6000000.0,Angel,2020,2,2,E-Commerce,Not Specified,6000000.0
126,Country Delight,2015.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Orios Venture Partners, Matrix Partners India",25000000.0,Series C,2020,2,2,Consumables,Not Specified,25000000.0
127,SignalX,2018.0,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,"9Unicorns, 3Lines VC, Hyderabad Angels",800000.0,Seed,2020,3,3,Technology,Not Specified,800000.0
128,Lancify,2018.0,Bangalore,Lancify is building the world's strongest young workforce,"Techstars, Techstars Bangalore Accelerator",300000.0,Series C,2020,2,2,Education,Not Specified,300000.0
129,Krimanshi,2015.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,"Rajasthan Venture Capital Fund, AIM Smart City",600000.0,Seed,2020,2,1,Healthcare,Not Specified,600000.0
130,Instoried,2018.0,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,"Venture Catalysts, SOSV",1000000.0,Angel,2020,2,2,Technology,Not Specified,1000000.0
131,PlayerzPot,2015.0,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",Not Specified,3000000.0,Series A,2020,2,2,Gaming,Not Specified,3000000.0
132,Instamojo,2012.0,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.","BASE, Gunosy Capital",nan,Corporate Round,2020,2,4,FinTech,Not Specified,25472041.55527319
133,Turtlemint,2015.0,Mumbai,Turtlemint has built Indian personalized insurance platform,"Nexus Venture Partners, Dream Incubator",30000000.0,Seed,2020,2,3,Healthcare,Not Specified,30000000.0
134,Arata,2017.0,Delhi,Arata is an e-commerce site for beauty products and cosmetics.,DSG Consumer Partners,1000000.0,Seed,2020,1,2,E-Commerce,Not Specified,1000000.0
135,MPL,2018.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Pegasus Tech Ventures, Base Partners",5000000.0,Pre-Seed,2020,2,2,Gaming,Not Specified,5000000.0
136,True Balance,2014.0,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"IBK Capital, SB Partners",28000000.0,Series D,2020,2,3,FinTech,Not Specified,28000000.0
137,Thrive,2020.0,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.","Whiteboard Capital, Ahimsa Capital",nan,Pre-Seed,2020,2,2,Consumables,Not Specified,25472041.55527319
138,Kitchens Centre,2019.0,Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,"Jonathan Swanson, Ankush Gera",nan,Series C,2020,2,1,Technology,Not Specified,25472041.55527319
139,Prescribe,2019.0,Chennai,Provide online services to patients by leveraging WhatsApp.,Titan Capital,100000.0,Angel,2020,1,1,Healthcare,Not Specified,100000.0
140,Nepra,2006.0,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,"Asha Impact, Aavishkaar Venture Capital",18000000.0,Series C,2020,2,1,Technology,Not Specified,18000000.0
141,inFeedo,2013.0,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.","Peyush Bansal, Ritesh Malik",3200000.0,Series C,2020,2,1,Technology,Not Specified,3200000.0
142,Shilpa Sciences,2014.0,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,AngelList India,nan,Pre-Seed,2020,1,1,Healthcare,Not Specified,25472041.55527319
